iata,icao,state,country,candidate_networks,candidate_sid,mwgg_tz,lat,lon,matched_network,evidence_basis,location_distance_km,valid_subperiod_start,valid_subperiod_end,utc_offset_equivalent_2018_2019,found_in_iem_network,verification_tier,iem_tzname,archive_begin,archive_end,period_covers_2018_2019,tz_matches_mwgg,note
CMI,KCMI,Illinois,US,IL_ASOS,CMI,America/Chicago,40.03919983,-88.27809906,IL_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.7878200380556257,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1972-12-31,,True,True,
CMX,KCMX,Michigan,US,MI_ASOS,CMX,America/Detroit,47.1683998108,-88.4890975952,MI_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.00018300537930725734,2018-01-01,2019-12-31,,True,confirmed_period,America/Detroit,1947-12-31,,True,True,
CNY,KCNY,Utah,US,UT_ASOS,CNY,America/Denver,38.75500107,-109.7549973,UT_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.017108936544491575,2018-01-01,2019-12-31,,True,confirmed_period,America/Denver,1973-03-01,,True,True,
COD,KCOD,Wyoming,US,WY_ASOS,COD,America/Denver,44.520198822,-109.0240020752,WY_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.016021554301493962,2018-01-01,2019-12-31,,True,confirmed_period,America/Denver,1973-01-01,,True,True,
COS,KCOS,Colorado,US,CO_ASOS,COS,America/Denver,38.8058013916,-104.7009963989,CO_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.017018961396070655,2018-01-01,2019-12-31,,True,confirmed_period,America/Denver,1942-09-01,,True,True,
COU,KCOU,Missouri,US,MO_ASOS,COU,America/Chicago,38.8180999756,-92.2195968628,MO_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.174436089051058,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1969-11-01,,True,True,
CPR,KCPR,Wyoming,US,WY_ASOS,CPR,America/Denver,42.90800095,-106.4639969,WY_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.03283048670430338,2018-01-01,2019-12-31,,True,confirmed_period,America/Denver,1940-01-01,,True,True,
CRP,KCRP,Texas,US,TX_ASOS,CRP,America/Chicago,27.7703990936,-97.5011978149,TX_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",1.1803466032422743,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1937-04-01,,True,True,
CRW,KCRW,West Virginia,US,WV_ASOS,CRW,America/New_York,38.3731002808,-81.5932006836,WV_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.7540177630674898,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1949-02-01,,True,True,
CSG,KCSG,Georgia,US,GA_ASOS,CSG,America/New_York,32.5163002014,-84.9389038086,GA_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.30986505406107895,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1947-12-31,,True,True,
CVG,KCVG,Kentucky,US,KY_ASOS,CVG,America/New_York,39.0488014221,-84.6678009033,KY_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.7178432576778634,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1947-12-31,,True,True,
CWA,KCWA,Wisconsin,US,WI_ASOS,CWA,America/Chicago,44.7775993347,-89.6668014526,WI_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.0001364503539685175,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1972-12-31,,True,True,
CYS,KCYS,Wyoming,US,WY_ASOS,CYS,America/Denver,41.15570068,-104.8119965,WY_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.12578840296737956,2018-01-01,2019-12-31,,True,confirmed_period,America/Denver,1934-01-04,,True,True,
DAB,KDAB,Florida,US,FL_ASOS,DAB,America/New_York,29.1798992157,-81.0580978394,FL_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.0002271661525860374,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1943-05-01,,True,True,
DAL,KDAL,Texas,US,TX_ASOS,DAL,America/Chicago,32.8470993042,-96.8517990112,TX_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.0001204925554935386,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1930-01-01,,True,True,
DAY,KDAY,Ohio,US,OH_ASOS,DAY,America/New_York,39.9024009705,-84.2193984985,OH_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.4169152320840462,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1929-12-31,,True,True,
DBQ,KDBQ,Iowa,US,IA_ASOS,DBQ,America/Chicago,42.40200043,-90.70950317,IA_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.4017165183477206,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1951-02-01,,True,True,
DCA,KDCA,Virginia,US,VA_ASOS,DCA,America/New_York,38.8521003723,-77.0376968384,VA_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.6073168896051097,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1929-07-01,,True,True,
DEN,KDEN,Colorado,US,CO_ASOS,DEN,America/Denver,39.8616981506,-104.672996521,CO_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",3.4750099314437675,2018-01-01,2019-12-31,,True,confirmed_period,America/Denver,1974-11-12,,True,True,
DFW,KDFW,Texas,US,TX_ASOS,DFW,America/Chicago,32.8968009949,-97.0380020142,TX_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.00021818227821184918,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1953-05-01,,True,True,
DHN,KDHN,Alabama,US,AL_ASOS,DHN,America/Chicago,31.3213005066,-85.4496002197,AL_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.14951310343346122,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1941-12-16,,True,True,
DIK,KDIK,North Dakota,US,ND_ASOS,DIK,America/Denver,46.7974014282,-102.802001953,ND_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.013690562618036618,2018-01-01,2019-12-31,,True,confirmed_period,America/Denver,1948-12-01,,True,True,
DLG,PADL,Alaska,US,AK_ASOS,PADL,America/Anchorage,59.04470062,-158.5050049,AK_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.028317488188296835,2018-01-01,2019-12-31,,True,confirmed_period,America/Anchorage,1972-12-31,,True,True,
DLH,KDLH,Minnesota,US,MN_ASOS,DLH,America/Chicago,46.8420982361,-92.1936035156,MN_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.00033161449069306055,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1940-08-08,,True,True,
DRO,KDRO,Colorado,US,CO_ASOS,DRO,America/Denver,37.1515007019,-107.753997803,CO_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.01753087680168666,2018-01-01,2019-12-31,,True,confirmed_period,America/Denver,1972-12-31,,True,True,
DRT,KDRT,Texas,US,TX_ASOS,DRT,America/Chicago,29.3742008209,-100.927001953,TX_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.019190824682901675,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1946-08-09,,True,True,
DSM,KDSM,Iowa,US,IA_ASOS,DSM,America/Chicago,41.5340003967,-93.6631011963,IA_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.8324641155100768,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1928-01-01,,True,True,
DTW,KDTW,Michigan,US,MI_ASOS,DTW,America/Detroit,42.2123985291,-83.3534011841,MI_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",2.7466237555025637,2018-01-01,2019-12-31,,True,confirmed_period,America/Detroit,1942-08-01,,True,True,
DUT,PADU,Alaska,US,AK_ASOS,PADU,America/Nome,53.900100708,-166.5440063477,AK_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.03317375608776175,2018-01-01,2019-12-31,,True,confirmed_period,America/Nome,1946-01-01,,True,True,
DVL,KDVL,North Dakota,US,ND_ASOS,DVL,America/Chicago,48.11420059,-98.90879822,ND_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.05779726683441571,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1948-01-01,,True,True,
EAR,KEAR,Nebraska,US,NE_ASOS,EAR,America/Chicago,40.72700119,-99.00679779,NE_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.00022845236694570782,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1943-03-12,,True,True,
EAT,KEAT,Washington,US,WA_ASOS,EAT,America/Los_Angeles,47.3988990784,-120.2070007324,WA_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.011222120803796837,2018-01-01,2019-12-31,,True,confirmed_period,America/Los_Angeles,1972-12-31,,True,True,
EAU,KEAU,Wisconsin,US,WI_ASOS,EAU,America/Chicago,44.8657989502,-91.4842987061,WI_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.00015500011726131177,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1947-07-04,,True,True,
ECP,KECP,Florida,US,FL_ASOS,ECP,America/Chicago,30.3417,-85.7973,FL_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",1.8419563542278932,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,2010-05-23,,True,True,
EGE,KEGE,Colorado,US,CO_ASOS,EGE,America/Denver,39.64260101,-106.9179993,CO_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.02562767650760794,2018-01-01,2019-12-31,,True,confirmed_period,America/Denver,1948-01-01,,True,True,
EKO,KEKO,Nevada,US,NV_ASOS,EKO,America/Los_Angeles,40.8249015808,-115.7919998169,NV_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.5108344923136475,2018-01-01,2019-12-31,,True,confirmed_period,America/Los_Angeles,1930-01-01,,True,True,
ELM,KELM,New York,US,NY_ASOS,ELM,America/New_York,42.1599006653,-76.8916015625,NY_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.7142729011517968,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1929-05-01,,True,True,
ELP,KELP,Texas,US,TX_ASOS,ELP,America/Denver,31.80719948,-106.3779984,TX_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.4809016732203537,2018-01-01,2019-12-31,,True,confirmed_period,America/Denver,1930-01-01,,True,True,
ERI,KERI,Pennsylvania,US,PA_ASOS,ERI,America/New_York,42.0831270134,-80.1738667488,PA_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.6140883137690832,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1929-10-16,,True,True,
ESC,KESC,Michigan,US,MI_ASOS,ESC,America/Detroit,45.7226982117,-87.0936965942,MI_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.0003308209587323227,2018-01-01,2019-12-31,,True,confirmed_period,America/Detroit,1947-12-31,,True,True,
EUG,KEUG,Oregon,US,OR_ASOS,EUG,America/Los_Angeles,44.1245994568,-123.2119979858,OR_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.00017174305367637327,2018-01-01,2019-12-31,,True,confirmed_period,America/Los_Angeles,1948-01-01,,True,True,
EVV,KEVV,Indiana,US,IN_ASOS,EVV,America/Chicago,38.0369987488,-87.5324020386,IN_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",1.3076413080376452,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1901-01-01,,True,True,
EWN,KEWN,North Carolina,US,NC_ASOS,EWN,America/New_York,35.0730018616,-77.0429000854,NC_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.7262294662871698,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1948-12-31,,True,True,
EWR,KEWR,New Jersey,US,NJ_ASOS,EWR,America/New_York,40.6925010681,-74.1687011719,NJ_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",1.0909995352415516,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1930-12-31,,True,True,
EYW,KEYW,Florida,US,FL_ASOS,EYW,America/New_York,24.5561008453,-81.7595977783,FL_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.00024356531699186573,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1932-07-06,,True,True,
FAI,PAFA,Alaska,US,AK_ASOS,PAFA,America/Anchorage,64.81510162,-147.8560028,AK_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",1.5672056128696337,2018-01-01,2019-12-31,,True,confirmed_period,America/Anchorage,1923-01-01,,True,True,
FAR,KFAR,North Dakota,US,ND_ASOS,FAR,America/Chicago,46.9207000732,-96.8158035278,ND_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.623872360682664,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1947-12-31,,True,True,
FAT,KFAT,California,US,CA_ASOS,FAT,America/Los_Angeles,36.7761993408,-119.7180023193,CA_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.4405663707235198,2018-01-01,2019-12-31,,True,confirmed_period,America/Los_Angeles,1941-12-04,,True,True,
FAY,KFAY,North Carolina,US,NC_ASOS,FAY,America/New_York,34.9911994934,-78.8803024292,NC_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.00022834645767188212,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1972-12-31,,True,True,
FCA,KGPI,Montana,US,MT_ASOS,FCA,America/Denver,48.3105010986,-114.2559967041,,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",,,,,False,unconfirmed,,,,,,candidate sid FCA not found in MT_ASOS
FLG,KFLG,Arizona,US,AZ_ASOS,FLG,America/Phoenix,35.13850021,-111.6709976,AZ_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.22804641991328323,2018-01-01,2019-12-31,,True,confirmed_period,America/Phoenix,1948-01-01,,True,True,
FLL,KFLL,Florida,US,FL_ASOS,FLL,America/New_York,26.072599411,-80.1527023315,FL_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",1.166192979947325,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1945-12-31,,True,True,
FLO,KFLO,South Carolina,US,SC_ASOS,FLO,America/New_York,34.1853981018,-79.7238998413,SC_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.0002115746931332634,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1947-12-31,,True,True,
FNT,KFNT,Michigan,US,MI_ASOS,FNT,America/Detroit,42.9654006958,-83.743598938,MI_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.4936357260739256,2018-01-01,2019-12-31,,True,confirmed_period,America/Detroit,1948-11-30,,True,True,
FSD,KFSD,South Dakota,US,SD_ASOS,FSD,America/Chicago,43.5820007324,-96.741897583,SD_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",1.1001274750270646,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1932-01-15,,True,True,
FSM,KFSM,Arkansas,US,AR_ASOS,FSM,America/Chicago,35.3366012573,-94.367401123,AR_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.00017298097808763016,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1947-01-01,,True,True,
FWA,KFWA,Indiana,US,IN_ASOS,FWA,America/Indiana/Indianapolis,40.97850037,-85.19509888,IN_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",1.1598635171778833,2018-01-01,2019-12-31,,True,confirmed_period,America/Indiana/Indianapolis,1911-05-20,,True,True,
GCC,KGCC,Wyoming,US,WY_ASOS,GCC,America/Denver,44.3488998413,-105.5390014648,WY_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.031689611693055605,2018-01-01,2019-12-31,,True,confirmed_period,America/Denver,1976-08-20,,True,True,
GCK,KGCK,Kansas,US,KS_ASOS,GCK,America/Chicago,37.9275016785,-100.7239990234,KS_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.03516994140508116,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1943-02-01,,True,True,
GEG,KGEG,Washington,US,WA_ASOS,GEG,America/Los_Angeles,47.6198997498,-117.533996582,WA_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.4875856928825947,2018-01-01,2019-12-31,,True,confirmed_period,America/Los_Angeles,1900-12-31,,True,True,
GFK,KGFK,North Dakota,US,ND_ASOS,GFK,America/Chicago,47.9492988586,-97.1761016846,ND_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.010993305931238881,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1948-01-01,,True,True,
GGG,KGGG,Texas,US,TX_ASOS,GGG,America/Chicago,32.3839988708,-94.7115020752,TX_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.00023181461863151036,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1947-05-04,,True,True,
GJT,KGJT,Colorado,US,CO_ASOS,GJT,America/Denver,39.1223983765,-108.527000427,CO_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",1.7261038188071793,2018-01-01,2019-12-31,,True,confirmed_period,America/Denver,1948-01-01,,True,True,
GNV,KGNV,Florida,US,FL_ASOS,GNV,America/New_York,29.6900997162,-82.2717971802,FL_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.4432619444514444,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1943-11-01,,True,True,
GPT,KGPT,Mississippi,US,MS_ASOS,GPT,America/Chicago,30.4073009491,-89.070098877,MS_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.00015078487460361718,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1935-09-10,,True,True,
GRB,KGRB,Wisconsin,US,WI_ASOS,GRB,America/Chicago,44.4850997925,-88.1296005249,WI_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.8478895945389501,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1949-09-01,,True,True,
GRI,KGRI,Nebraska,US,NE_ASOS,GRI,America/Chicago,40.9674987793,-98.3096008301,NE_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.00015258372894889005,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1929-02-04,,True,True,
GRK,KGRK,Texas,US,TX_ASOS,GRK,America/Chicago,31.067199707,-97.8289031982,TX_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.328434891529952,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1950-09-26,,True,True,
GRR,KGRR,Michigan,US,MI_ASOS,GRR,America/Detroit,42.88079834,-85.52279663,MI_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.14568364784899068,2018-01-01,2019-12-31,,True,confirmed_period,America/Detroit,1963-12-01,,True,True,
GSO,KGSO,North Carolina,US,NC_ASOS,GSO,America/New_York,36.0978012085,-79.9373016357,NC_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.5668806033585534,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1945-10-31,,True,True,
GSP,KGSP,South Carolina,US,SC_ASOS,GSP,America/New_York,34.8956985474,-82.2189025879,SC_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",1.2956188378819409,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1962-10-15,,True,True,
GST,PAGS,Alaska,US,AK_ASOS,PAGS,America/Juneau,58.4253006,-135.7070007,AK_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.02324847122938483,2018-01-01,2019-12-31,,True,confirmed_period,America/Juneau,1948-12-31,,True,True,
GTF,KGTF,Montana,US,MT_ASOS,GTF,America/Denver,47.48199844,-111.3710022,MT_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",1.2820879023524352,2018-01-01,2019-12-31,,True,confirmed_period,America/Denver,1948-01-01,,True,True,
GTR,KGTR,Mississippi,US,MS_ASOS,GTR,America/Chicago,33.4502983093,-88.5914001465,MS_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.00018848821343822844,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1977-01-02,,True,True,
GUC,KGUC,Colorado,US,CO_ASOS,GUC,America/Denver,38.53390121,-106.9329987,CO_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.00017575187864045608,2018-01-01,2019-12-31,,True,confirmed_period,America/Denver,1973-01-01,,True,True,
GUM,PGUM,Barrigada,GU,GU_ASOS,PGUM,Pacific/Guam,13.4834003448,144.796005249,GU_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.14062902132959806,2018-01-01,2019-12-31,,True,confirmed_period,Pacific/Guam,1945-08-31,,True,True,
HDN,KHDN,Colorado,US,CO_ASOS,HDN,America/Denver,40.48120117,-107.2180023,CO_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.2153770422079879,2018-01-01,2019-12-31,,True,confirmed_period,America/Denver,1973-01-01,,True,True,
